timestamp_et	close	running_vwap	volume
2026-04-13T13:57:00-04:00	36.5600	34.3611	24262
2026-04-13T13:58:00-04:00	36.6000	34.3797	14026
2026-04-13T13:59:00-04:00	36.6600	34.3975	13379
2026-04-13T14:00:00-04:00	36.8400	34.4084	7978
2026-04-13T14:01:00-04:00	36.8400	34.4266	13157
2026-04-13T14:02:00-04:00	36.6800	34.4399	10070
2026-04-13T14:03:00-04:00	36.4950	34.4481	6765
2026-04-13T14:04:00-04:00	36.5950	34.4690	17447
2026-04-13T14:05:00-04:00	36.3800	34.4772	7480
2026-04-13T14:06:00-04:00	36.4000	34.4960	18050
2026-04-13T14:07:00-04:00	36.3800	34.5010	4688
2026-04-13T14:08:00-04:00	36.4200	34.5048	3552
2026-04-13T14:09:00-04:00	36.4250	34.5108	5626
2026-04-13T14:10:00-04:00	36.4400	34.5138	2852
2026-04-13T14:11:00-04:00	36.4700	34.5225	8123
2026-04-13T14:12:00-04:00	36.4500	34.5277	4963
2026-04-13T14:13:00-04:00	36.4850	34.5290	1232
2026-04-13T14:14:00-04:00	36.3400	34.5332	4086
2026-04-13T14:15:00-04:00	36.4700	34.5404	6880
2026-04-13T14:16:00-04:00	36.4600	34.5431	2576
2026-04-13T14:17:00-04:00	36.4950	34.5524	8856
2026-04-13T14:18:00-04:00	36.4700	34.5563	3793
2026-04-13T14:19:00-04:00	36.4600	34.5573	989
2026-04-13T14:20:00-04:00	36.3650	34.5666	9469
2026-04-13T14:21:00-04:00	36.4000	34.5699	3371
2026-04-13T14:22:00-04:00	36.5050	34.5964	26608
2026-04-13T14:23:00-04:00	36.5700	34.5995	3014
2026-04-13T14:24:00-04:00	36.5350	34.6012	1692
2026-04-13T14:25:00-04:00	36.6400	34.6088	7181
2026-04-13T14:26:00-04:00	36.7300	34.6293	18570
2026-04-13T14:27:00-04:00	36.6850	34.6432	13053
2026-04-13T14:28:00-04:00	36.6000	34.6469	3646
2026-04-13T14:29:00-04:00	36.4000	34.6522	5612
2026-04-13T14:30:00-04:00	36.4950	34.6600	8325
2026-04-13T14:31:00-04:00	36.5250	34.6653	5579
2026-04-13T14:32:00-04:00	36.6000	34.6677	2422
2026-04-13T14:33:00-04:00	36.6000	34.6686	916
2026-04-13T14:34:00-04:00	36.7600	34.6796	10699
2026-04-13T14:35:00-04:00	36.7700	34.6820	2296
2026-04-13T14:36:00-04:00	36.7507	34.6851	3033
2026-04-13T14:37:00-04:00	36.7564	34.6883	3029
2026-04-13T14:38:00-04:00	36.8150	34.6960	7328
2026-04-13T14:39:00-04:00	36.8200	34.7179	20688
2026-04-13T14:40:00-04:00	36.7900	34.7204	2443
2026-04-13T14:41:00-04:00	36.7750	34.7227	2271
2026-04-13T14:42:00-04:00	36.8200	34.7332	10165
2026-04-13T14:43:00-04:00	36.8099	34.7430	9642
2026-04-13T14:44:00-04:00	36.7316	34.7492	6353
2026-04-13T14:45:00-04:00	36.8100	34.7600	10819
2026-04-13T14:46:00-04:00	36.8610	34.7750	14756
2026-04-13T14:47:00-04:00	36.8650	34.7891	14103
2026-04-13T14:48:00-04:00	36.9900	34.8011	11647
2026-04-13T14:49:00-04:00	36.9600	34.8086	7334
2026-04-13T14:50:00-04:00	36.9500	34.8112	2527
2026-04-13T14:51:00-04:00	36.9400	34.8148	3532
2026-04-13T14:52:00-04:00	36.9800	34.8184	3570
2026-04-13T14:53:00-04:00	36.8500	34.8253	7008
2026-04-13T14:54:00-04:00	36.9200	34.8312	6046
2026-04-13T14:55:00-04:00	36.9150	34.8333	2125
2026-04-13T14:56:00-04:00	36.8900	34.8352	2004
2026-04-13T14:57:00-04:00	36.8100	34.8381	3107
2026-04-13T14:58:00-04:00	36.6201	34.8423	4893
2026-04-13T14:59:00-04:00	36.6550	34.8446	2679
2026-04-13T15:00:00-04:00	36.5700	34.8476	3737
2026-04-13T15:01:00-04:00	36.3400	34.8536	8060
2026-04-13T15:02:00-04:00	36.3650	34.8564	4024
2026-04-13T15:03:00-04:00	36.2397	34.8598	5269
2026-04-13T15:04:00-04:00	36.3100	34.8620	3361
2026-04-13T15:05:00-04:00	36.2200	34.8744	19452
2026-04-13T15:06:00-04:00	36.0800	34.8885	25129
2026-04-13T15:07:00-04:00	35.8400	34.8919	7303
2026-04-13T15:08:00-04:00	35.8400	34.8973	12258
2026-04-13T15:09:00-04:00	35.9400	34.9122	34970
2026-04-13T15:10:00-04:00	35.8550	34.9213	21448
2026-04-13T15:11:00-04:00	35.8600	34.9246	8213
2026-04-13T15:12:00-04:00	35.9750	34.9271	5711
2026-04-13T15:13:00-04:00	35.8700	34.9284	3071
2026-04-13T15:14:00-04:00	35.8350	34.9301	4470
2026-04-13T15:15:00-04:00	35.7100	34.9315	4119
2026-04-13T15:16:00-04:00	35.7300	34.9413	27540
2026-04-13T15:17:00-04:00	35.7300	34.9484	20545
2026-04-13T15:18:00-04:00	35.6550	34.9503	6094
2026-04-13T15:19:00-04:00	35.6450	34.9543	13647
2026-04-13T15:20:00-04:00	35.6800	34.9555	3764
2026-04-13T15:21:00-04:00	35.5241	34.9594	14969
2026-04-13T15:22:00-04:00	35.3300	34.9623	16516
2026-04-13T15:23:00-04:00	35.1800	34.9663	34300
2026-04-13T15:24:00-04:00	35.0300	34.9674	23145
2026-04-13T15:25:00-04:00	34.9400	34.9674	18685
2026-04-13T15:26:00-04:00	34.8400	34.9658	33888
2026-04-13T15:27:00-04:00	34.8450	34.9655	6887
2026-04-13T15:28:00-04:00	34.7350	34.9647	8614
2026-04-13T15:29:00-04:00	34.6350	34.9614	27545
2026-04-13T15:30:00-04:00	34.5300	34.9544	45743
2026-04-13T15:31:00-04:00	34.4600	34.9501	22663
2026-04-13T15:32:00-04:00	34.4100	34.9491	5403
2026-04-13T15:33:00-04:00	34.4400	34.9479	6219
2026-04-13T15:34:00-04:00	34.4000	34.9327	91552
2026-04-13T15:35:00-04:00	34.2000	34.9303	9866
2026-04-13T15:36:00-04:00	34.0599	34.9252	16537
2026-04-13T15:37:00-04:00	33.9100	34.9085	50242
2026-04-13T15:38:00-04:00	33.6850	34.8912	40964
2026-04-13T15:39:00-04:00	33.8350	34.8780	32638
2026-04-13T15:40:00-04:00	33.9100	34.8738	12503
2026-04-13T15:41:00-04:00	33.9000	34.8641	31085
2026-04-13T15:42:00-04:00	33.9700	34.8631	3291
2026-04-13T15:43:00-04:00	33.9300	34.8610	6879
2026-04-13T15:44:00-04:00	33.9100	34.8546	19305
2026-04-13T15:45:00-04:00	33.3950	34.8488	13355
2026-04-13T15:46:00-04:00	33.3380	34.8258	46285
2026-04-13T15:47:00-04:00	33.3521	34.8152	21833
2026-04-13T15:48:00-04:00	33.2800	34.8062	18807
2026-04-13T15:49:00-04:00	33.6050	34.7939	29619
2026-04-13T15:50:00-04:00	33.7550	34.7909	8608
2026-04-13T15:51:00-04:00	33.7750	34.7850	17256
2026-04-13T15:52:00-04:00	33.7700	34.7808	13718
2026-04-13T15:53:00-04:00	33.7250	34.7793	4616
2026-04-13T15:54:00-04:00	33.6300	34.7729	16865
2026-04-13T15:55:00-04:00	33.7400	34.7668	17663
2026-04-13T15:56:00-04:00	33.6900	34.7606	18615
2026-04-13T15:57:00-04:00	33.7801	34.7575	10349
2026-04-13T15:58:00-04:00	33.8550	34.7479	33446
2026-04-13T15:59:00-04:00	33.8150	34.7311	60209
2026-04-14T09:30:00-04:00	33.4350	33.4983	37538
2026-04-14T09:31:00-04:00	33.3700	33.4958	752
2026-04-14T09:32:00-04:00	33.6100	33.4968	2794
2026-04-14T09:33:00-04:00	33.8900	33.4988	210
2026-04-14T09:34:00-04:00	33.0830	33.4652	79309
2026-04-14T09:35:00-04:00	34.3900	33.5368	16936
2026-04-14T09:36:00-04:00	35.2800	34.1169	79869
2026-04-14T09:37:00-04:00	34.4594	34.2192	43552
2026-04-14T09:38:00-04:00	34.2450	34.2240	7258
2026-04-14T09:39:00-04:00	33.4600	34.1917	21935
2026-04-14T09:40:00-04:00	33.3100	34.1615	10314
2026-04-14T09:41:00-04:00	33.4500	34.1266	14538
2026-04-14T09:42:00-04:00	33.2800	34.0568	43396
2026-04-14T09:43:00-04:00	33.2800	34.0485	4705
2026-04-14T09:44:00-04:00	33.7700	34.0427	5793
2026-04-14T09:45:00-04:00	34.2450	34.0442	5798
2026-04-14T09:46:00-04:00	34.4700	34.0491	6139
2026-04-14T09:47:00-04:00	33.8800	34.0463	27149
2026-04-14T09:48:00-04:00	33.7700	34.0431	7085
2026-04-14T09:49:00-04:00	33.9300	34.0416	9978
2026-04-14T09:50:00-04:00	34.2200	34.0420	7793
2026-04-14T09:51:00-04:00	34.3900	34.0474	8969
2026-04-14T09:52:00-04:00	34.3400	34.0500	4112
2026-04-14T09:53:00-04:00	34.2200	34.0514	2388
2026-04-14T09:54:00-04:00	34.3500	34.0522	1400
2026-04-14T09:55:00-04:00	34.2500	34.0590	14881
2026-04-14T09:56:00-04:00	34.2300	34.0595	1429
2026-04-14T09:57:00-04:00	33.9150	34.0580	10430
2026-04-14T09:58:00-04:00	33.7550	34.0545	5791
2026-04-14T09:59:00-04:00	33.5450	34.0363	17277
2026-04-14T10:00:00-04:00	33.4101	34.0270	8384
2026-04-14T10:01:00-04:00	32.9000	33.9803	25141
2026-04-14T10:02:00-04:00	33.0250	33.9575	12052
2026-04-14T10:03:00-04:00	32.6450	33.8727	41491
2026-04-14T10:04:00-04:00	32.6300	33.8249	22346
2026-04-14T10:05:00-04:00	32.8924	33.8080	11722
2026-04-14T10:06:00-04:00	32.6999	33.7999	4872
2026-04-14T10:07:00-04:00	32.6050	33.7981	909
2026-04-14T10:08:00-04:00	32.9175	33.7860	7996
2026-04-14T10:09:00-04:00	32.9000	33.7758	7255
2026-04-14T10:10:00-04:00	32.8550	33.7616	10052
2026-04-14T10:11:00-04:00	32.4100	33.7419	11326
2026-04-14T10:12:00-04:00	32.3000	33.7072	16603
2026-04-14T10:13:00-04:00	32.2500	33.6854	10458
2026-04-14T10:14:00-04:00	32.1700	33.6668	8813
2026-04-14T10:15:00-04:00	32.2750	33.6407	13207
2026-04-14T10:16:00-04:00	32.3551	33.6343	3567
2026-04-14T10:17:00-04:00	32.3550	33.6312	1753
2026-04-14T10:18:00-04:00	32.3650	33.6200	6374
2026-04-14T10:19:00-04:00	32.3750	33.6138	3519
2026-04-14T10:20:00-04:00	32.4000	33.6003	7911
2026-04-14T10:21:00-04:00	32.8200	33.5937	5621
2026-04-14T10:22:00-04:00	32.7900	33.5917	1954
2026-04-14T10:23:00-04:00	32.7100	33.5894	2090
2026-04-14T10:24:00-04:00	32.7600	33.5874	1747
2026-04-14T10:25:00-04:00	32.9259	33.5848	2725
2026-04-14T10:26:00-04:00	32.9403	33.5838	1073
2026-04-14T10:27:00-04:00	32.9100	33.5830	867
2026-04-14T10:28:00-04:00	32.8000	33.5793	3671
2026-04-14T10:29:00-04:00	32.8500	33.5781	1168
2026-04-14T10:30:00-04:00	33.2800	33.5688	15818
2026-04-14T10:31:00-04:00	33.2600	33.5681	1734
2026-04-14T10:32:00-04:00	33.4000	33.5678	1166
2026-04-14T10:33:00-04:00	33.4500	33.5671	3425
2026-04-14T10:34:00-04:00	33.4800	33.5665	4707
2026-04-14T10:35:00-04:00	33.2050	33.5626	9588
2026-04-14T10:36:00-04:00	33.1950	33.5606	4018
2026-04-14T10:37:00-04:00	33.2500	33.5575	7665
2026-04-14T10:38:00-04:00	33.3600	33.5563	4482
2026-04-14T10:39:00-04:00	33.3600	33.5559	1561
2026-04-14T10:40:00-04:00	33.5800	33.5558	10658
2026-04-14T10:41:00-04:00	33.6994	33.5562	2336
2026-04-14T10:42:00-04:00	33.6200	33.5563	1236
2026-04-14T10:43:00-04:00	33.7550	33.5579	7485
2026-04-14T10:44:00-04:00	33.6600	33.5581	1361
2026-04-14T10:45:00-04:00	33.7899	33.5585	1880
2026-04-14T10:46:00-04:00	33.7250	33.5588	1343
2026-04-14T10:47:00-04:00	33.8050	33.5606	6146
2026-04-14T10:48:00-04:00	33.8300	33.5608	837
2026-04-14T10:49:00-04:00	34.1000	33.5664	10331
2026-04-14T10:50:00-04:00	34.0850	33.5700	5747
2026-04-14T10:51:00-04:00	34.0700	33.5709	1617
2026-04-14T10:52:00-04:00	34.1000	33.5711	372
2026-04-14T10:53:00-04:00	34.1100	33.5720	1456
2026-04-14T10:54:00-04:00	34.1500	33.5735	2369
2026-04-14T10:55:00-04:00	34.1150	33.5742	1156
2026-04-14T10:56:00-04:00	34.1100	33.5769	4400
2026-04-14T10:57:00-04:00	34.1100	33.5775	926
2026-04-14T10:58:00-04:00	34.1600	33.5798	3501
2026-04-14T10:59:00-04:00	34.1612	33.5825	4061
2026-04-14T11:00:00-04:00	33.8900	33.5865	10006
2026-04-14T11:01:00-04:00	33.9180	33.5870	1393
2026-04-14T11:03:00-04:00	33.9100	33.5871	304
2026-04-14T11:04:00-04:00	33.7900	33.5878	2044
2026-04-14T11:05:00-04:00	33.4900	33.5877	10940
2026-04-14T11:06:00-04:00	33.1300	33.5831	12138
2026-04-14T11:07:00-04:00	33.2200	33.5816	3457
2026-04-14T11:09:00-04:00	33.3500	33.5811	1558
2026-04-14T11:10:00-04:00	33.7300	33.5811	8724
2026-04-14T11:11:00-04:00	33.7800	33.5813	1646
2026-04-14T11:12:00-04:00	33.7100	33.5816	1770
2026-04-14T11:13:00-04:00	33.9800	33.5823	2149
2026-04-14T11:14:00-04:00	33.8850	33.5826	890
2026-04-14T11:15:00-04:00	33.9000	33.5833	2225
2026-04-14T11:16:00-04:00	33.9900	33.5838	1174
2026-04-14T11:17:00-04:00	33.9900	33.5862	5662
2026-04-14T11:18:00-04:00	34.0000	33.5877	3598
2026-04-14T11:19:00-04:00	33.9900	33.5880	891
2026-04-14T11:20:00-04:00	34.1650	33.5935	9512
2026-04-14T11:21:00-04:00	33.7850	33.5965	10030
2026-04-14T11:22:00-04:00	33.7500	33.5966	693
2026-04-14T11:23:00-04:00	33.8150	33.5973	2617
2026-04-14T11:24:00-04:00	33.8700	33.5974	620
2026-04-14T11:25:00-04:00	33.9500	33.5985	3105
2026-04-14T11:26:00-04:00	33.9850	33.6025	9894
2026-04-14T11:27:00-04:00	34.2450	33.6076	7566
2026-04-14T11:28:00-04:00	34.2450	33.6094	2766
2026-04-14T11:29:00-04:00	34.2450	33.6095	149
2026-04-14T11:30:00-04:00	34.3400	33.6105	1403
2026-04-14T11:31:00-04:00	34.6050	33.6172	7413
2026-04-14T11:32:00-04:00	34.7500	33.6255	7982
2026-04-14T11:33:00-04:00	34.6650	33.6338	8151
2026-04-14T11:34:00-04:00	34.6700	33.6374	3721
2026-04-14T11:35:00-04:00	34.7300	33.6382	679
2026-04-14T11:36:00-04:00	34.8700	33.6414	2772
2026-04-14T11:37:00-04:00	34.5300	33.6517	10940
2026-04-14T11:38:00-04:00	34.2050	33.6606	15725
2026-04-14T11:39:00-04:00	34.2050	33.6623	3176
2026-04-14T11:40:00-04:00	34.2050	33.6632	2007
2026-04-14T11:41:00-04:00	34.1700	33.6661	6052
2026-04-14T11:43:00-04:00	34.0600	33.6671	2601
2026-04-14T11:44:00-04:00	34.0900	33.6671	177
2026-04-14T11:45:00-04:00	34.1150	33.6678	1548
2026-04-14T11:46:00-04:00	34.1500	33.6693	3427
2026-04-14T11:47:00-04:00	34.0360	33.6698	1092
2026-04-14T11:48:00-04:00	34.1100	33.6700	674
2026-04-14T11:49:00-04:00	34.2300	33.6711	2389
2026-04-14T11:50:00-04:00	34.0700	33.6719	2837
2026-04-14T11:51:00-04:00	33.9750	33.6720	100
2026-04-14T11:52:00-04:00	33.9750	33.6723	1040
2026-04-14T11:53:00-04:00	33.9400	33.6723	105
2026-04-14T11:54:00-04:00	33.9400	33.6724	522
2026-04-14T11:55:00-04:00	33.8700	33.6725	547
2026-04-14T11:56:00-04:00	33.8600	33.6731	2990
2026-04-14T11:57:00-04:00	33.9400	33.6732	512
2026-04-14T11:58:00-04:00	33.9200	33.6735	1560
2026-04-14T11:59:00-04:00	33.7800	33.6745	6365
2026-04-14T12:00:00-04:00	33.8650	33.6746	886
2026-04-14T12:01:00-04:00	34.0300	33.6756	3432
2026-04-14T12:02:00-04:00	34.1000	33.6762	1531
2026-04-14T12:03:00-04:00	34.1250	33.6774	3573
2026-04-14T12:04:00-04:00	33.9000	33.6775	236
2026-04-14T12:05:00-04:00	33.9700	33.6780	1486
2026-04-14T12:06:00-04:00	34.0463	33.6782	776
2026-04-14T12:07:00-04:00	34.1000	33.6797	4068
2026-04-14T12:08:00-04:00	33.9850	33.6803	2285
2026-04-14T12:09:00-04:00	33.9000	33.6806	986
2026-04-14T12:10:00-04:00	33.9800	33.6807	582
2026-04-14T12:11:00-04:00	34.0300	33.6810	716
2026-04-14T12:12:00-04:00	34.0092	33.6816	2365
2026-04-14T12:13:00-04:00	33.9600	33.6818	657
2026-04-14T12:14:00-04:00	33.9450	33.6822	1855
2026-04-14T12:15:00-04:00	33.9408	33.6834	5492
2026-04-14T12:17:00-04:00	33.9400	33.6838	1716
2026-04-14T12:19:00-04:00	33.9200	33.6854	7390
2026-04-14T12:20:00-04:00	33.9900	33.6860	2853
2026-04-14T12:22:00-04:00	33.9597	33.6862	565
2026-04-14T12:23:00-04:00	33.9600	33.6868	2972
2026-04-14T12:24:00-04:00	33.9800	33.6872	1978
2026-04-14T12:25:00-04:00	33.8900	33.6884	5681
